,Fav,Fav_Loss_Count
8459,Roman Andres Burruchaga,24
8460,Nikolas Sanchez Izquierdo,8
8462,Lorenzo Giustino,3
8464,Geoffrey Blancaneaux,7
8466,Juan Manuel Cerundolo,17
8467,Luka Pavlovic,4
8468,Edas Butvilas,4
8469,Alvaro Guillen Meza,12
8471,Radu Albot,8
8472,Felipe Meligeni Alves,13
8473,Thiago Agustin Tirante,15
8474,Matteo Martineau,5
8475,Andrea Collarini,10
8476,Tristan Boyer,9
8477,Jan Choinski,6
8480,Calvin Hemery,7
8483,Carlos Taberner,20
8484,Manas Dhamne,1
8485,Murkel Dellien,16
8486,Francesco Maestrelli,17
8488,Juan Pablo Ficovich,4
8489,Daniel Merida Aguilar,7
8491,Javier Barranco Cosano,12
8492,Norbert Gombos,4
8493,Daniel Elahi Galan,17
8494,Mihai Papoe Radu,1
8495,Harold Mayot,8
8496,Marco Cecchinato,14
8497,Moez Echargui,2
8498,Marco Trungelliti,6
8499,Andrea Pellegrino,9
8500,Marko Topo,6
8501,Thiago Seyboth Wild,15
